Id,Qual é o seu departamento?,Há quanto tempo você faz parte do grupo UOL?,Qual lanche você prefere?,Qual bebida você prefere?,Em que cidade você mora?,Qual o seu método de comunicação preferido no trabalho?,Qual o seu hobby preferido?,Qual seu gênero preferido de música? (Pode marcar mais de um),Qual seu turno de preferência para reuniões de trabalho?,Qual seu gênero de filme preferido? (Pode marcar mais de um),"Se você pudesse viajar para qualquer lugar, para onde iria?"
0,Jurídico,4-6 anos,Fruta,Chá,Porto Alegre,Telefone,Leitura,Funk,Começo da tarde,Romance,Europa
1,Data & Analytics,<1 ano,Bolo,Suco de Frutas,BH,Chat,Cozinhar,Rock;Sertanejo,Começo da tarde,Comédia,Amazonas
2,Atendimento,<1 ano,Bolo,Chocolate quente,São Paulo,E-mail,Esportes,Jazz;MPB,Começo da tarde,Documentário;Romance;Ficção Científica,China
3,Inovação,4-6 anos,Bolo,Suco de Frutas,POA,Telefone,Viajar,Clássica,Começo da tarde,Drama;Ficção Científica,EUA
4,Ingresso.com,7-10 anos,Pão de Queijo,Leite,SP,Reuniões,Cozinhar,Sertanejo,Final da tarde,Drama,Tramandaí
5,Publicidade,<1 ano,Salada de frutas,Café,POA,Reuniões,Esportes,Pop,Começo da tarde,Terror;Animação,Europa
6,Atendimento,1-3 anos,Salada de frutas,Água,BH,Chat,Viajar,Rock,Manhã,Documentário,Amsterdam
7,Parcerias,4-6 anos,Pão de Queijo,Leite,Porto Alegre - RS,E-mail,Viajar,Clássica,Começo da tarde,Drama,Amazonas
8,Parcerias,7-10 anos,Sanduíche,Água,BH,E-mail,Esportes,Jazz;MPB,Manhã,Comédia;Ficção Científica,Itália
9,Publicidade,4-6 anos,Bolo,Chocolate quente,SP,Reuniões,Cozinhar,Sertanejo,Começo da tarde,Ficção Científica,Tramandaí
10,Segurança,1-3 anos,Bolo,Água,RJ,Chat,Cozinhar,Jazz,Final da tarde,Terror,Chile
11,Marketing,4-6 anos,Pão de Queijo,Café,Porto Alegre,Chat,Leitura,Sertanejo,Final da tarde,Animação,Toyko
12,Ingresso.com,<1 ano,Salada de frutas,Suco de Frutas,BH,E-mail,Esportes,Clássica,Começo da tarde,Documentário;Drama,EUA
13,Produtos Digitais,7-10 anos,Sanduíche,Leite,Rio de Janeiro,Reuniões,Leitura,MPB;Sertanejo,Manhã,Ficção Científica,Tramandaí
14,Parcerias,4-6 anos,Sanduíche,Chocolate quente,Porto Alegre - RS,E-mail,Viajar,Pop,Manhã,Ficção Científica;Comédia,EUA
15,Host,1-3 anos,Salada de frutas,Café,RJ,Chat,Jogos,Pop;MPB;Rock,Final da tarde,Terror,EUA
16,Financeiro,1-3 anos,Salada de frutas,Café,RJ,Reuniões,Viajar,Sertanejo,Manhã,Ação,Chile
17,RH,1-3 anos,Fruta,Chocolate quente,Porto Alegre - RS,E-mail,Leitura,MPB,Começo da tarde,Animação,EUA
18,RH,1-3 anos,Pão de Queijo,Água,Rio de Janeiro,Reuniões,Leitura,Funk,Começo da tarde,Drama,Toyko
19,Inovação,4-6 anos,Bolo,Café,POA,Chat,Cozinhar,Rap,Começo da tarde,Terror,Bariloche
20,Parcerias,7-10 anos,Bolo,Chá,Belo Horizonte,Reuniões,Esportes,MPB,Final da tarde,Comédia,EUA
21,RH,7-10 anos,Pão de Queijo,Café,Rio de Janeiro,E-mail,Cozinhar,Clássica,Começo da tarde,Ficção Científica;Drama,USA
22,P&D,4-6 anos,Salada de frutas,Café,São Paulo,Reuniões,Cozinhar,Jazz,Manhã,Terror,Tramandaí
23,P&D,4-6 anos,Salada de frutas,Café,RJ,Reuniões,Cozinhar,Sertanejo;Rock;Rap;MPB;Eletrônica,Começo da tarde,Ficção Científica;Documentário,Tramandaí
24,Publicidade,1-3 anos,Pão de Queijo,Suco de Frutas,Rio de Janeiro,E-mail,Esportes,Jazz,Começo da tarde,Animação,Chile
25,P&D,1-3 anos,Fruta,Café,RJ,Telefone,Cozinhar,Rap,Começo da tarde,Ação,China
26,Produtos Digitais,4-6 anos,Pão de Queijo,Chocolate quente,SP,Reuniões,Viajar,Rock;Pop,Começo da tarde,Animação,Europa
27,Ingresso.com,<1 ano,Bolo,Chocolate quente,POA,Chat,Viajar,Funk;Rap,Começo da tarde,Documentário,EUA
28,Marketing,1-3 anos,Pão de Queijo,Suco de Frutas,BH,Chat,Jogos,Eletrônica,Final da tarde,Ação,Amsterdam
29,Jurídico,<1 ano,Fruta,Água,SP,E-mail,Viajar,MPB,Final da tarde,Terror;Romance;Ficção Científica,China
30,Ingresso.com,1-3 anos,Salada de frutas,Leite,POA,Chat,Viajar,Sertanejo,Começo da tarde,Terror,Europa
31,Atendimento,4-6 anos,Pão de Queijo,Suco de Frutas,RJ,Chat,Leitura,Jazz,Começo da tarde,Documentário,Chile
32,P&D,4-6 anos,Pão de Queijo,Chocolate quente,RJ,Reuniões,Cozinhar,Rock,Final da tarde,Documentário,Madrid
33,Ingresso.com,1-3 anos,Bolo,Água,Belo Horizonte,Chat,Cozinhar,Rap;Funk,Começo da tarde,Ficção Científica,Toyko
34,Jurídico,10+ anos,Pão de Queijo,Café,Porto Alegre,Chat,Esportes,Funk,Começo da tarde,Documentário;Romance,Bariloche
35,RH,10+ anos,Sanduíche,Chá,RJ,Chat,Cozinhar,Funk;Rock,Manhã,Romance,Bariloche
36,Operações,4-6 anos,Sanduíche,Leite,Porto Alegre,Chat,Cozinhar,Rock,Final da tarde,Terror;Comédia;Animação,China
37,Ingresso.com,4-6 anos,Pão de Queijo,Chá,Rio de Janeiro,Reuniões,Viajar,MPB,Começo da tarde,Terror,Bariloche
38,Inovação,4-6 anos,Sanduíche,Suco de Frutas,RJ,Chat,Viajar,Funk,Começo da tarde,Romance,Itália
39,Ingresso.com,4-6 anos,Salada de frutas,Leite,Porto Alegre - RS,Reuniões,Esportes,Rap,Final da tarde,Documentário,China
40,Produtos Digitais,<1 ano,Salada de frutas,Água,POA,Chat,Cozinhar,Funk,Começo da tarde,Drama;Comédia,Itália
41,Publicidade,10+ anos,Salada de frutas,Chá,Porto Alegre - RS,Chat,Viajar,Sertanejo,Manhã,Animação,Itália
42,Operações,7-10 anos,Pão de Queijo,Café,Porto Alegre - RS,Chat,Esportes,Sertanejo,Manhã,Comédia;Romance,Tramandaí
43,Host,4-6 anos,Pão de Queijo,Chá,RJ,Reuniões,Esportes,Rap,Manhã,Animação,Tramandaí
44,Host,<1 ano,Fruta,Suco de Frutas,Rio de Janeiro,E-mail,Jogos,Sertanejo,Final da tarde,Terror,Madrid
45,Ingresso.com,4-6 anos,Pão de Queijo,Café,BH,Chat,Jogos,Funk,Começo da tarde,Comédia,Madrid
46,Data & Analytics,1-3 anos,Bolo,Chocolate quente,Porto Alegre - RS,Reuniões,Esportes,Jazz,Começo da tarde,Romance,Toyko
47,Jurídico,7-10 anos,Bolo,Suco de Frutas,RJ,Chat,Esportes,Sertanejo,Final da tarde,Ficção Científica,Tramandaí
48,Atendimento,1-3 anos,Pão de Queijo,Chá,BH,E-mail,Leitura,Jazz;Funk;Rock,Manhã,Drama,EUA
49,Jurídico,<1 ano,Sanduíche,Chocolate quente,Porto Alegre,Chat,Viajar,Rap;Jazz;Pop,Começo da tarde,Ficção Científica,Itália
50,Publicidade,4-6 anos,Pão de Queijo,Suco de Frutas,BH,Chat,Cozinhar,Rap,Manhã,Terror,Europa
51,Operações,4-6 anos,Pão de Queijo,Leite,Rio de Janeiro,Chat,Cozinhar,Jazz,Começo da tarde,Animação,Toyko
52,Atendimento,4-6 anos,Bolo,Chocolate quente,Belo Horizonte,Chat,Esportes,Funk,Final da tarde,Ficção Científica,Toyko
53,Produtos Digitais,7-10 anos,Pão de Queijo,Água,Belo Horizonte,Telefone,Viajar,MPB,Começo da tarde,Ação,China
54,RH,4-6 anos,Sanduíche,Suco de Frutas,POA,Chat,Cozinhar,Funk,Começo da tarde,Drama,Amsterdam
55,Jurídico,10+ anos,Salada de frutas,Leite,Belo Horizonte,Reuniões,Esportes,Eletrônica,Começo da tarde,Romance,Madrid
56,Segurança,1-3 anos,Pão de Queijo,Suco de Frutas,BH,Telefone,Leitura,Eletrônica,Final da tarde,Comédia,Chile
57,Conteúdo,1-3 anos,Sanduíche,Café,BH,Chat,Viajar,MPB,Final da tarde,Ação;Documentário;Animação,USA
58,P&D,<1 ano,Pão de Queijo,Suco de Frutas,Rio de Janeiro,Reuniões,Viajar,MPB;Jazz,Começo da tarde,Comédia,Itália
59,Publicidade,4-6 anos,Pão de Queijo,Café,POA,Reuniões,Leitura,Clássica,Começo da tarde,Comédia,China
60,Publicidade,4-6 anos,Pão de Queijo,Chá,Rio de Janeiro,E-mail,Esportes,Rap,Manhã,Comédia,Amazonas
61,Parcerias,7-10 anos,Pão de Queijo,Suco de Frutas,RJ,E-mail,Cozinhar,MPB,Manhã,Drama,EUA
62,Host,7-10 anos,Sanduíche,Suco de Frutas,Porto Alegre - RS,E-mail,Leitura,Pop,Final da tarde,Ficção Científica,EUA
63,RH,1-3 anos,Fruta,Suco de Frutas,São Paulo,E-mail,Viajar,Rock,Começo da tarde,Ação,USA
64,Produtos Digitais,4-6 anos,Pão de Queijo,Suco de Frutas,BH,E-mail,Cozinhar,Pop,Começo da tarde,Romance,Madrid
65,Conteúdo,1-3 anos,Salada de frutas,Leite,Porto Alegre - RS,Reuniões,Leitura,Clássica,Final da tarde,Animação,USA
66,Marketing,1-3 anos,Bolo,Café,RJ,E-mail,Cozinhar,Rock;Pop;Eletrônica,Começo da tarde,Comédia,USA
67,Host,4-6 anos,Fruta,Café,Porto Alegre - RS,Telefone,Esportes,Jazz,Manhã,Ficção Científica,Europa
68,Parcerias,7-10 anos,Salada de frutas,Chá,RJ,Chat,Leitura,Pop,Começo da tarde,Documentário;Romance,Itália
69,P&D,1-3 anos,Pão de Queijo,Café,Belo Horizonte,Reuniões,Leitura,MPB,Manhã,Ficção Científica,USA
70,Conteúdo,<1 ano,Salada de frutas,Suco de Frutas,RJ,E-mail,Cozinhar,Pop,Começo da tarde,Terror,Toyko
71,Atendimento,1-3 anos,Salada de frutas,Café,Rio de Janeiro,Reuniões,Esportes,Sertanejo,Começo da tarde,Animação;Drama,Amsterdam
72,Marketing,<1 ano,Salada de frutas,Suco de Frutas,POA,E-mail,Leitura,MPB,Final da tarde,Romance,Amsterdam
73,P&D,4-6 anos,Pão de Queijo,Café,Belo Horizonte,Reuniões,Viajar,Jazz,Começo da tarde,Documentário;Animação,Toyko
74,Marketing,4-6 anos,Pão de Queijo,Chocolate quente,BH,Chat,Jogos,Clássica;Funk;Eletrônica,Começo da tarde,Documentário,Itália
75,Inovação,<1 ano,Salada de frutas,Água,RJ,E-mail,Leitura,Jazz,Final da tarde,Terror;Ação,EUA
76,Atendimento,4-6 anos,Sanduíche,Suco de Frutas,Porto Alegre - RS,Chat,Leitura,Funk,Final da tarde,Documentário,Chile
77,Publicidade,4-6 anos,Bolo,Café,Porto Alegre,Chat,Esportes,Rock,Manhã,Terror;Ação;Romance;Ficção Científica;Comédia,Europa
78,Atendimento,4-6 anos,Pão de Queijo,Água,POA,Chat,Leitura,MPB,Começo da tarde,Ação;Drama,Tramandaí
79,Host,4-6 anos,Sanduíche,Chá,SP,E-mail,Viajar,Pop,Começo da tarde,Ação;Documentário,China
80,Financeiro,4-6 anos,Bolo,Chocolate quente,Belo Horizonte,Chat,Leitura,Rock,Final da tarde,Comédia;Drama,EUA
81,Atendimento,4-6 anos,Fruta,Chá,Porto Alegre - RS,Telefone,Cozinhar,Sertanejo,Começo da tarde,Documentário,Madrid
82,Produtos Digitais,10+ anos,Salada de frutas,Café,Porto Alegre,Chat,Jogos,Jazz,Manhã,Drama;Documentário,Toyko
83,Produtos Digitais,7-10 anos,Sanduíche,Chá,Belo Horizonte,Chat,Viajar,Sertanejo,Começo da tarde,Ação,Madrid
84,Jurídico,4-6 anos,Fruta,Suco de Frutas,RJ,E-mail,Viajar,Rock;Jazz,Final da tarde,Comédia,Amazonas
85,RH,4-6 anos,Salada de frutas,Suco de Frutas,Belo Horizonte,Reuniões,Esportes,Pop,Manhã,Comédia,Tramandaí
86,Financeiro,7-10 anos,Bolo,Chá,Rio de Janeiro,E-mail,Esportes,MPB,Manhã,Romance;Drama,Chile
87,Segurança,<1 ano,Pão de Queijo,Suco de Frutas,Porto Alegre - RS,E-mail,Jogos,Eletrônica,Final da tarde,Comédia,Itália
88,Host,4-6 anos,Sanduíche,Chocolate quente,RJ,Reuniões,Viajar,MPB,Começo da tarde,Animação,Amazonas
89,Ingresso.com,7-10 anos,Fruta,Café,São Paulo,E-mail,Esportes,Rap,Começo da tarde,Ação,EUA
90,Marketing,4-6 anos,Pão de Queijo,Suco de Frutas,POA,Reuniões,Viajar,Clássica;Eletrônica,Começo da tarde,Ficção Científica;Terror,China
91,Ingresso.com,4-6 anos,Pão de Queijo,Café,Belo Horizonte,Chat,Leitura,Sertanejo;Clássica,Começo da tarde,Documentário,Amsterdam
92,Ingresso.com,1-3 anos,Pão de Queijo,Suco de Frutas,SP,E-mail,Cozinhar,Rock,Manhã,Ficção Científica;Drama,USA
93,Data & Analytics,<1 ano,Salada de frutas,Suco de Frutas,RJ,E-mail,Esportes,Eletrônica,Final da tarde,Romance,Europa
94,Parcerias,1-3 anos,Pão de Queijo,Chá,SP,E-mail,Jogos,Funk,Final da tarde,Animação,Toyko
95,Jurídico,1-3 anos,Fruta,Chá,Porto Alegre,Chat,Cozinhar,Rock;Rap;Sertanejo,Manhã,Terror;Animação,EUA
96,Data & Analytics,4-6 anos,Salada de frutas,Suco de Frutas,Porto Alegre,Reuniões,Cozinhar,Funk;Sertanejo,Final da tarde,Ficção Científica,Europa
97,Publicidade,<1 ano,Pão de Queijo,Café,Rio de Janeiro,Reuniões,Esportes,Jazz,Começo da tarde,Comédia;Romance,China
98,Produtos Digitais,1-3 anos,Fruta,Água,BH,E-mail,Leitura,Sertanejo;Eletrônica,Manhã,Comédia,USA
99,P&D,1-3 anos,Salada de frutas,Chocolate quente,POA,Reuniões,Leitura,Sertanejo,Começo da tarde,Terror,Toyko
100,Publicidade,1-3 anos,Sanduíche,Café,Rio de Janeiro,Reuniões,Esportes,MPB,Começo da tarde,Comédia;Terror,Toyko
101,P&D,4-6 anos,Pão de Queijo,Suco de Frutas,Rio de Janeiro,Chat,Esportes,Funk,Manhã,Animação,USA
102,Financeiro,<1 ano,Bolo,Café,Porto Alegre,E-mail,Jogos,Clássica,Começo da tarde,Romance,EUA
103,RH,<1 ano,Bolo,Suco de Frutas,POA,E-mail,Cozinhar,Rap,Começo da tarde,Ação,Itália
104,Operações,1-3 anos,Pão de Queijo,Suco de Frutas,RJ,Reuniões,Esportes,Clássica;Funk;MPB,Final da tarde,Comédia,Madrid
105,Financeiro,7-10 anos,Salada de frutas,Suco de Frutas,SP,Reuniões,Viajar,Rock,Começo da tarde,Comédia,Madrid
106,P&D,7-10 anos,Fruta,Chocolate quente,São Paulo,E-mail,Cozinhar,Jazz,Final da tarde,Animação,Bariloche
107,Segurança,<1 ano,Bolo,Água,Rio de Janeiro,Chat,Viajar,Rock;Funk;Rap,Manhã,Romance;Animação,Amsterdam
108,Jurídico,<1 ano,Sanduíche,Suco de Frutas,BH,Reuniões,Viajar,Funk,Final da tarde,Comédia;Drama,China
109,Marketing,4-6 anos,Salada de frutas,Suco de Frutas,BH,Reuniões,Leitura,Rock,Começo da tarde,Drama,EUA
110,Parcerias,4-6 anos,Sanduíche,Chocolate quente,BH,E-mail,Leitura,MPB;Jazz;Rap;Eletrônica,Começo da tarde,Ficção Científica,China
111,Conteúdo,4-6 anos,Fruta,Chocolate quente,Rio de Janeiro,Telefone,Viajar,Eletrônica,Manhã,Terror,Madrid
112,Publicidade,4-6 anos,Fruta,Suco de Frutas,Porto Alegre - RS,Chat,Esportes,Rock,Começo da tarde,Ficção Científica,USA
113,Atendimento,<1 ano,Sanduíche,Água,Belo Horizonte,Chat,Leitura,MPB;Funk,Começo da tarde,Ficção Científica,Europa
114,Operações,<1 ano,Salada de frutas,Suco de Frutas,Porto Alegre - RS,Reuniões,Viajar,Pop,Manhã,Ação,Chile
115,Atendimento,4-6 anos,Pão de Queijo,Café,POA,Reuniões,Cozinhar,Rock;Rap,Começo da tarde,Ação,Itália
116,Operações,1-3 anos,Bolo,Leite,POA,Chat,Cozinhar,Eletrônica;Sertanejo,Começo da tarde,Documentário,Chile
117,Conteúdo,4-6 anos,Salada de frutas,Café,São Paulo,Chat,Esportes,Sertanejo,Começo da tarde,Drama;Documentário,Amazonas
118,Jurídico,1-3 anos,Salada de frutas,Chocolate quente,BH,Chat,Esportes,Funk,Começo da tarde,Documentário,Amazonas
119,Financeiro,7-10 anos,Bolo,Água,Rio de Janeiro,Chat,Viajar,Eletrônica;Rock;Rap,Manhã,Ação;Terror,Itália
120,Inovação,4-6 anos,Fruta,Suco de Frutas,Belo Horizonte,E-mail,Viajar,Funk;Rap,Começo da tarde,Animação,Amazonas
121,RH,4-6 anos,Fruta,Suco de Frutas,Belo Horizonte,Telefone,Jogos,MPB,Final da tarde,Romance,Europa
122,Jurídico,7-10 anos,Pão de Queijo,Café,BH,Telefone,Leitura,MPB;Pop;Sertanejo,Final da tarde,Drama,Europa
123,Jurídico,4-6 anos,Sanduíche,Suco de Frutas,Belo Horizonte,Chat,Jogos,Pop,Começo da tarde,Ficção Científica,China
124,Parcerias,<1 ano,Salada de frutas,Leite,BH,Chat,Viajar,Sertanejo,Final da tarde,Animação;Ação,Bariloche
125,Parcerias,1-3 anos,Bolo,Chocolate quente,SP,Telefone,Esportes,Clássica,Começo da tarde,Comédia,EUA
126,Conteúdo,4-6 anos,Fruta,Leite,Belo Horizonte,Reuniões,Cozinhar,Clássica;MPB,Começo da tarde,Romance,Itália
127,Marketing,7-10 anos,Sanduíche,Chocolate quente,São Paulo,Chat,Cozinhar,Pop,Começo da tarde,Ficção Científica;Terror,EUA
128,Data & Analytics,<1 ano,Fruta,Suco de Frutas,RJ,Telefone,Leitura,Funk,Final da tarde,Ação,China
129,Operações,1-3 anos,Sanduíche,Chocolate quente,BH,E-mail,Jogos,Sertanejo,Manhã,Terror,USA
130,Financeiro,1-3 anos,Sanduíche,Chocolate quente,POA,Telefone,Esportes,MPB;Jazz;Clássica,Começo da tarde,Drama,Amsterdam
131,Parcerias,<1 ano,Sanduíche,Água,Porto Alegre,Chat,Cozinhar,Sertanejo,Começo da tarde,Terror;Comédia,Europa
132,Data & Analytics,1-3 anos,Bolo,Café,BH,E-mail,Esportes,MPB;Jazz,Começo da tarde,Ficção Científica,Bariloche
133,P&D,4-6 anos,Salada de frutas,Chocolate quente,POA,Chat,Cozinhar,Pop,Final da tarde,Ficção Científica,Toyko
134,P&D,<1 ano,Fruta,Suco de Frutas,Belo Horizonte,Chat,Viajar,Funk,Começo da tarde,Documentário,Madrid
135,Ingresso.com,4-6 anos,Sanduíche,Chá,Belo Horizonte,Chat,Leitura,Eletrônica;Sertanejo,Final da tarde,Documentário,Madrid
136,RH,4-6 anos,Sanduíche,Chocolate quente,São Paulo,Chat,Cozinhar,Funk,Manhã,Ficção Científica,Chile
137,Data & Analytics,4-6 anos,Fruta,Café,POA,Chat,Leitura,Sertanejo,Começo da tarde,Drama;Ficção Científica,Chile
138,RH,4-6 anos,Fruta,Chá,Rio de Janeiro,Chat,Leitura,Eletrônica;Jazz,Manhã,Drama,Amsterdam
139,P&D,<1 ano,Salada de frutas,Chocolate quente,SP,Reuniões,Esportes,Clássica,Começo da tarde,Ficção Científica,Itália
140,RH,<1 ano,Salada de frutas,Chocolate quente,RJ,E-mail,Cozinhar,Rap;Rock;Funk;Sertanejo;Clássica,Começo da tarde,Documentário,Itália
141,P&D,4-6 anos,Bolo,Café,Rio de Janeiro,E-mail,Viajar,Rock;Jazz,Começo da tarde,Documentário,Toyko
142,RH,7-10 anos,Salada de frutas,Chocolate quente,Porto Alegre - RS,E-mail,Cozinhar,Rap,Começo da tarde,Ficção Científica,Amazonas
143,Jurídico,<1 ano,Sanduíche,Leite,São Paulo,Chat,Cozinhar,Clássica;Sertanejo,Começo da tarde,Terror,Madrid
144,Jurídico,<1 ano,Sanduíche,Água,SP,Chat,Jogos,Rap,Começo da tarde,Terror,EUA
145,Financeiro,7-10 anos,Fruta,Chocolate quente,SP,Reuniões,Leitura,MPB,Começo da tarde,Drama,China
146,Atendimento,7-10 anos,Pão de Queijo,Suco de Frutas,SP,E-mail,Esportes,Jazz,Manhã,Animação,Itália
147,Parcerias,1-3 anos,Sanduíche,Leite,POA,Telefone,Jogos,Jazz;Eletrônica,Manhã,Ficção Científica;Documentário,Tramandaí
148,Data & Analytics,4-6 anos,Fruta,Café,Rio de Janeiro,Chat,Esportes,Rock;Pop,Manhã,Comédia,China
